source	target
CAGL0L06578g	CAGL0A01826g
CAGL0L06864g	CAGL0A01826g
CAGL0L09108g	CAGL0A01826g
CAGL0L09273g	CAGL0A01826g
CAGL0M02211g	CAGL0A01826g
CAGL0M02915g	CAGL0A01826g
CAGL0M05401g	CAGL0A01826g
CAGL0M05511g	CAGL0A01826g
CAGL0M05665g	CAGL0A01826g
CAGL0M05951g	CAGL0A01826g
CAGL0M07403g	CAGL0A01826g
CAGL0B03421g	CAGL0A02002g
CAGL0B03817g	CAGL0A02002g
CAGL0C03872g	CAGL0A02002g
CAGL0D01298g	CAGL0A02002g
CAGL0D01474g	CAGL0A02002g
CAGL0E00803g	CAGL0A02002g
CAGL0E05588g	CAGL0A02002g
CAGL0F01463g	CAGL0A02002g
CAGL0F05687g	CAGL0A02002g
CAGL0F07865g	CAGL0A02002g
CAGL0F08261g	CAGL0A02002g
CAGL0G02255g	CAGL0A02002g
CAGL0I00550g	CAGL0A02002g
CAGL0I02024g	CAGL0A02002g
CAGL0I02508g	CAGL0A02002g
CAGL0I05390g	CAGL0A02002g
CAGL0I05610g	CAGL0A02002g
CAGL0I07491g	CAGL0A02002g
CAGL0I09086g	CAGL0A02002g
CAGL0J03916g	CAGL0A02002g
CAGL0J07568g	CAGL0A02002g
CAGL0J09262g	CAGL0A02002g
CAGL0J09812g	CAGL0A02002g
CAGL0K03421g	CAGL0A02002g
CAGL0K08536g	CAGL0A02002g
CAGL0K10736g	CAGL0A02002g
CAGL0L01177g	CAGL0A02002g
CAGL0L05742g	CAGL0A02002g
CAGL0M02915g	CAGL0A02002g
CAGL0M03377g	CAGL0A02002g
CAGL0M05511g	CAGL0A02002g
CAGL0M08602g	CAGL0A02002g
CAGL0M11704g	CAGL0A02002g
CAGL0A04015g	CAGL0A02112g
CAGL0B00286g	CAGL0A02112g
CAGL0B00594g	CAGL0A02112g
CAGL0B00792g	CAGL0A02112g
CAGL0B01122g	CAGL0A02112g
CAGL0B01881g	CAGL0A02112g
CAGL0C00495g	CAGL0A02112g
CAGL0C01287g	CAGL0A02112g
CAGL0C02035g	CAGL0A02112g
CAGL0C03443g	CAGL0A02112g
CAGL0C03630g	CAGL0A02112g
CAGL0C03652g	CAGL0A02112g
CAGL0D00748g	CAGL0A02112g
CAGL0D00880g	CAGL0A02112g
CAGL0D05060g	CAGL0A02112g
CAGL0E01155g	CAGL0A02112g
CAGL0E01771g	CAGL0A02112g
CAGL0E01991g	CAGL0A02112g
CAGL0E02013g	CAGL0A02112g
CAGL0E03289g	CAGL0A02112g
CAGL0E03938g	CAGL0A02112g
CAGL0E04334g	CAGL0A02112g
CAGL0E04994g	CAGL0A02112g
CAGL0E05500g	CAGL0A02112g
CAGL0F00407g	CAGL0A02112g
CAGL0F00429g	CAGL0A02112g
CAGL0F01045g	CAGL0A02112g
CAGL0F02233g	CAGL0A02112g
CAGL0F02431g	CAGL0A02112g
CAGL0F03927g	CAGL0A02112g
CAGL0F03993g	CAGL0A02112g
CAGL0G01826g	CAGL0A02112g
CAGL0G02409g	CAGL0A02112g
CAGL0G03575g	CAGL0A02112g
CAGL0G03905g	CAGL0A02112g
CAGL0G05566g	CAGL0A02112g
CAGL0G05874g	CAGL0A02112g
CAGL0G06248g	CAGL0A02112g
CAGL0G06490g	CAGL0A02112g
CAGL0G07106g	CAGL0A02112g
CAGL0G08734g	CAGL0A02112g
CAGL0G09130g	CAGL0A02112g
CAGL0G10131g	CAGL0A02112g
CAGL0G10153g	CAGL0A02112g
CAGL0H00440g	CAGL0A02112g
CAGL0H03751g	CAGL0A02112g
CAGL0H05643g	CAGL0A02112g
CAGL0H07051g	CAGL0A02112g
CAGL0H07579g	CAGL0A02112g
CAGL0H08822g	CAGL0A02112g
CAGL0I00748g	CAGL0A02112g
CAGL0I00814g	CAGL0A02112g
CAGL0I01298g	CAGL0A02112g
CAGL0I03234g	CAGL0A02112g
CAGL0I04730g	CAGL0A02112g
CAGL0I04752g	CAGL0A02112g
CAGL0I06831g	CAGL0A02112g
CAGL0I08987g	CAGL0A02112g
CAGL0I09790g	CAGL0A02112g
CAGL0I10670g	CAGL0A02112g
CAGL0I10791g	CAGL0A02112g
CAGL0J00363g	CAGL0A02112g
CAGL0J00473g	CAGL0A02112g
CAGL0J00649g	CAGL0A02112g
CAGL0J01848g	CAGL0A02112g
CAGL0J03234g	CAGL0A02112g
CAGL0J03806g	CAGL0A02112g
CAGL0J03894g	CAGL0A02112g
CAGL0J04070g	CAGL0A02112g
CAGL0J04576g	CAGL0A02112g
CAGL0J05984g	CAGL0A02112g
CAGL0J06374g	CAGL0A02112g
CAGL0J07062g	CAGL0A02112g
CAGL0J07678g	CAGL0A02112g
CAGL0J07766g	CAGL0A02112g
CAGL0J08679g	CAGL0A02112g
CAGL0J09614g	CAGL0A02112g
CAGL0J10010g	CAGL0A02112g
CAGL0J10164g	CAGL0A02112g
CAGL0J10362g	CAGL0A02112g
CAGL0K01859g	CAGL0A02112g
CAGL0K02233g	CAGL0A02112g
CAGL0K06061g	CAGL0A02112g
CAGL0K06567g	CAGL0A02112g
CAGL0K09042g	CAGL0A02112g
CAGL0K09724g	CAGL0A02112g
CAGL0K10362g	CAGL0A02112g
CAGL0K10780g	CAGL0A02112g
CAGL0K11231g	CAGL0A02112g
CAGL0K12100g	CAGL0A02112g
CAGL0L00979g	CAGL0A02112g
CAGL0L02079g	CAGL0A02112g
CAGL0L02937g	CAGL0A02112g
CAGL0L03806g	CAGL0A02112g
CAGL0L03846g	CAGL0A02112g
CAGL0L04510g	CAGL0A02112g
CAGL0L04664g	CAGL0A02112g
CAGL0L05500g	CAGL0A02112g
CAGL0L08114g	CAGL0A02112g
CAGL0L08118g	CAGL0A02112g
CAGL0L08184g	CAGL0A02112g
CAGL0L08756g	CAGL0A02112g
CAGL0L10142g	CAGL0A02112g
CAGL0L10164g	CAGL0A02112g
CAGL0L10868g	CAGL0A02112g
CAGL0L10890g	CAGL0A02112g
CAGL0L11000g	CAGL0A02112g
CAGL0L11506g	CAGL0A02112g
CAGL0M05775g	CAGL0A02112g
CAGL0M06369g	CAGL0A02112g
CAGL0M06457g	CAGL0A02112g
CAGL0M07656g	CAGL0A02112g
CAGL0M07722g	CAGL0A02112g
CAGL0M10241g	CAGL0A02112g
CAGL0M11110g	CAGL0A02112g
CAGL0A03366g	CAGL0A02145g
CAGL0B02904g	CAGL0A02145g
CAGL0D00264g	CAGL0A02145g
CAGL0D02134g	CAGL0A02145g
CAGL0D04026g	CAGL0A02145g
CAGL0E01815g	CAGL0A02145g
CAGL0E05456g	CAGL0A02145g
CAGL0F05071g	CAGL0A02145g
CAGL0F08019g	CAGL0A02145g
CAGL0F08217g	CAGL0A02145g
CAGL0F08745g	CAGL0A02145g
CAGL0G03883g	CAGL0A02145g
CAGL0G04433g	CAGL0A02145g
CAGL0G04763g	CAGL0A02145g
CAGL0G05698g	CAGL0A02145g
CAGL0G05764g	CAGL0A02145g
CAGL0G05962g	CAGL0A02145g
CAGL0G09691g	CAGL0A02145g
CAGL0G09977g	CAGL0A02145g
CAGL0H00682g	CAGL0A02145g
CAGL0H04851g	CAGL0A02145g
CAGL0H08063g	CAGL0A02145g
CAGL0H08261g	CAGL0A02145g
CAGL0I00528g	CAGL0A02145g
CAGL0I04048g	CAGL0A02145g
CAGL0I06182g	CAGL0A02145g
CAGL0I07887g	CAGL0A02145g
CAGL0I08305g	CAGL0A02145g
CAGL0I10010g	CAGL0A02145g
CAGL0J08547g	CAGL0A02145g
CAGL0K02629g	CAGL0A02145g
CAGL0K05247g	CAGL0A02145g
CAGL0K05687g	CAGL0A02145g
CAGL0K05813g	CAGL0A02145g
CAGL0K10340g	CAGL0A02145g
CAGL0L00473g	CAGL0A02145g
CAGL0L00649g	CAGL0A02145g
CAGL0L03267g	CAGL0A02145g
CAGL0L07480g	CAGL0A02145g
CAGL0L09086g	CAGL0A02145g
CAGL0L09108g	CAGL0A02145g
CAGL0L09537g	CAGL0A02145g
CAGL0L10582g	CAGL0A02145g
CAGL0M02167g	CAGL0A02145g
CAGL0M03025g	CAGL0A02145g
CAGL0M04675g	CAGL0A02145g
CAGL0M05951g	CAGL0A02145g
CAGL0M06633g	CAGL0A02145g
CAGL0M07403g	CAGL0A02145g
CAGL0M08184g	CAGL0A02145g
CAGL0M09229g	CAGL0A02145g
CAGL0A02233g	CAGL0A02211g
CAGL0A02299g	CAGL0A02211g
CAGL0A03476g	CAGL0A02211g
CAGL0A04829g	CAGL0A02211g
CAGL0B00814g	CAGL0A02211g
CAGL0B00946g	CAGL0A02211g
CAGL0B01727g	CAGL0A02211g
CAGL0B02838g	CAGL0A02211g
CAGL0B02860g	CAGL0A02211g
CAGL0B03619g	CAGL0A02211g
CAGL0B03817g	CAGL0A02211g
CAGL0C01771g	CAGL0A02211g
CAGL0C02365g	CAGL0A02211g
CAGL0C02739g	CAGL0A02211g
CAGL0C03113g	CAGL0A02211g
CAGL0C04191g	CAGL0A02211g
CAGL0C04587g	CAGL0A02211g
CAGL0C05445g	CAGL0A02211g
CAGL0D00704g	CAGL0A02211g
CAGL0D00770g	CAGL0A02211g
CAGL0D01298g	CAGL0A02211g
CAGL0D01474g	CAGL0A02211g
CAGL0D02134g	CAGL0A02211g
CAGL0D04026g	CAGL0A02211g
CAGL0D04686g	CAGL0A02211g
CAGL0D05082g	CAGL0A02211g
CAGL0D05280g	CAGL0A02211g
CAGL0D06402g	CAGL0A02211g
CAGL0D06600g	CAGL0A02211g
CAGL0E00803g	CAGL0A02211g
CAGL0E01243g	CAGL0A02211g
CAGL0E02651g	CAGL0A02211g
CAGL0E04510g	CAGL0A02211g
CAGL0E05148g	CAGL0A02211g
CAGL0E05346g	CAGL0A02211g
CAGL0E06072g	CAGL0A02211g
CAGL0E06380g	CAGL0A02211g
CAGL0F00605g	CAGL0A02211g
CAGL0F01485g	CAGL0A02211g
CAGL0F02101g	CAGL0A02211g
CAGL0F04807g	CAGL0A02211g
CAGL0F04895g	CAGL0A02211g
CAGL0F08085g	CAGL0A02211g
CAGL0G05830g	CAGL0A02211g
CAGL0G05962g	CAGL0A02211g
CAGL0G06006g	CAGL0A02211g
CAGL0H00704g	CAGL0A02211g
CAGL0H02387g	CAGL0A02211g
CAGL0H02585g	CAGL0A02211g
CAGL0H02893g	CAGL0A02211g
CAGL0H04037g	CAGL0A02211g
CAGL0H04851g	CAGL0A02211g
CAGL0H05445g	CAGL0A02211g
CAGL0H08541g	CAGL0A02211g
CAGL0H09944g	CAGL0A02211g
CAGL0H10010g	CAGL0A02211g
CAGL0I00550g	CAGL0A02211g
CAGL0I01100g	CAGL0A02211g
CAGL0I01276g	CAGL0A02211g
CAGL0I02024g	CAGL0A02211g
CAGL0I02530g	CAGL0A02211g
CAGL0I04328g	CAGL0A02211g
CAGL0I04972g	CAGL0A02211g
CAGL0I05390g	CAGL0A02211g
CAGL0I05874g	CAGL0A02211g
CAGL0I09086g	CAGL0A02211g
CAGL0J02904g	CAGL0A02211g
CAGL0J07568g	CAGL0A02211g
CAGL0J07980g	CAGL0A02211g
CAGL0J09812g	CAGL0A02211g
CAGL0K00110g	CAGL0A02211g
CAGL0K04301g	CAGL0A02211g
CAGL0K05813g	CAGL0A02211g
CAGL0K09702g	CAGL0A02211g
CAGL0K10428g	CAGL0A02211g
CAGL0K10736g	CAGL0A02211g
CAGL0K11858g	CAGL0A02211g
CAGL0K12254g	CAGL0A02211g
CAGL0L00473g	CAGL0A02211g
CAGL0L00957g	CAGL0A02211g
CAGL0L03135g	CAGL0A02211g
CAGL0L04598g	CAGL0A02211g
CAGL0L05742g	CAGL0A02211g
CAGL0L06578g	CAGL0A02211g
CAGL0L08426g	CAGL0A02211g
CAGL0L09108g	CAGL0A02211g
CAGL0L09383g	CAGL0A02211g
CAGL0L10362g	CAGL0A02211g
CAGL0L10582g	CAGL0A02211g
CAGL0L12562g	CAGL0A02211g
CAGL0M02211g	CAGL0A02211g
CAGL0M02915g	CAGL0A02211g
CAGL0M04675g	CAGL0A02211g
CAGL0M05401g	CAGL0A02211g
CAGL0M05511g	CAGL0A02211g
CAGL0M07001g	CAGL0A02211g
CAGL0M07403g	CAGL0A02211g
CAGL0A02299g	CAGL0A02233g
CAGL0A03476g	CAGL0A02233g
CAGL0A04829g	CAGL0A02233g
CAGL0B00814g	CAGL0A02233g
CAGL0B00946g	CAGL0A02233g
CAGL0B01727g	CAGL0A02233g
CAGL0B02838g	CAGL0A02233g
CAGL0B02860g	CAGL0A02233g
CAGL0B03619g	CAGL0A02233g
CAGL0B03817g	CAGL0A02233g
CAGL0C01771g	CAGL0A02233g
CAGL0C02365g	CAGL0A02233g
CAGL0C02739g	CAGL0A02233g
CAGL0C03113g	CAGL0A02233g
CAGL0C04191g	CAGL0A02233g
CAGL0C04587g	CAGL0A02233g
CAGL0C05445g	CAGL0A02233g
CAGL0D00704g	CAGL0A02233g
CAGL0D01298g	CAGL0A02233g
CAGL0D01474g	CAGL0A02233g
CAGL0D02134g	CAGL0A02233g
CAGL0D04026g	CAGL0A02233g
CAGL0D04686g	CAGL0A02233g
CAGL0D05082g	CAGL0A02233g
CAGL0D05280g	CAGL0A02233g
CAGL0D06402g	CAGL0A02233g
CAGL0D06600g	CAGL0A02233g
CAGL0E00803g	CAGL0A02233g
CAGL0E01243g	CAGL0A02233g
CAGL0E02651g	CAGL0A02233g
CAGL0E04510g	CAGL0A02233g
CAGL0E05148g	CAGL0A02233g
CAGL0E05346g	CAGL0A02233g
CAGL0E06072g	CAGL0A02233g
CAGL0E06380g	CAGL0A02233g
CAGL0F00605g	CAGL0A02233g
CAGL0F01485g	CAGL0A02233g
CAGL0F02101g	CAGL0A02233g
CAGL0F04807g	CAGL0A02233g
CAGL0F04895g	CAGL0A02233g
CAGL0F08085g	CAGL0A02233g
CAGL0G05830g	CAGL0A02233g
CAGL0G05962g	CAGL0A02233g
CAGL0G06006g	CAGL0A02233g
CAGL0H00704g	CAGL0A02233g
CAGL0H02387g	CAGL0A02233g
CAGL0H02585g	CAGL0A02233g
CAGL0H02893g	CAGL0A02233g
CAGL0H04037g	CAGL0A02233g
CAGL0H04851g	CAGL0A02233g
CAGL0H05445g	CAGL0A02233g
CAGL0H08541g	CAGL0A02233g
CAGL0H09944g	CAGL0A02233g
CAGL0H10010g	CAGL0A02233g
CAGL0I00550g	CAGL0A02233g
CAGL0I01100g	CAGL0A02233g
CAGL0I01276g	CAGL0A02233g
CAGL0I02024g	CAGL0A02233g
CAGL0I02530g	CAGL0A02233g
CAGL0I04328g	CAGL0A02233g
CAGL0I04972g	CAGL0A02233g
CAGL0I05390g	CAGL0A02233g
CAGL0I05874g	CAGL0A02233g
CAGL0I09086g	CAGL0A02233g
CAGL0J02904g	CAGL0A02233g
CAGL0J07568g	CAGL0A02233g
CAGL0J07980g	CAGL0A02233g
CAGL0J09812g	CAGL0A02233g
CAGL0K00110g	CAGL0A02233g
CAGL0K04301g	CAGL0A02233g
CAGL0K05813g	CAGL0A02233g
CAGL0K09702g	CAGL0A02233g
CAGL0K10736g	CAGL0A02233g
CAGL0K11858g	CAGL0A02233g
CAGL0K12254g	CAGL0A02233g
CAGL0L00473g	CAGL0A02233g
CAGL0L00957g	CAGL0A02233g
CAGL0L03135g	CAGL0A02233g
CAGL0L04598g	CAGL0A02233g
CAGL0L06578g	CAGL0A02233g
CAGL0L08426g	CAGL0A02233g
CAGL0L09108g	CAGL0A02233g
CAGL0L09383g	CAGL0A02233g
CAGL0L10362g	CAGL0A02233g
CAGL0L10582g	CAGL0A02233g
CAGL0L12562g	CAGL0A02233g
CAGL0M02211g	CAGL0A02233g
CAGL0M02915g	CAGL0A02233g
CAGL0M04675g	CAGL0A02233g
CAGL0M05401g	CAGL0A02233g
CAGL0M05511g	CAGL0A02233g
CAGL0M05665g	CAGL0A02233g
CAGL0M07403g	CAGL0A02233g
CAGL0A03476g	CAGL0A02299g
CAGL0A04829g	CAGL0A02299g
CAGL0B00814g	CAGL0A02299g
CAGL0B00946g	CAGL0A02299g
CAGL0B01727g	CAGL0A02299g
CAGL0B02838g	CAGL0A02299g
CAGL0B03619g	CAGL0A02299g
CAGL0C01771g	CAGL0A02299g
CAGL0C02739g	CAGL0A02299g
CAGL0C03113g	CAGL0A02299g
CAGL0C04191g	CAGL0A02299g
CAGL0D00770g	CAGL0A02299g
CAGL0D01298g	CAGL0A02299g
CAGL0D04686g	CAGL0A02299g
CAGL0D04708g	CAGL0A02299g
CAGL0D05082g	CAGL0A02299g
CAGL0D06402g	CAGL0A02299g
CAGL0D06600g	CAGL0A02299g
CAGL0E01243g	CAGL0A02299g
CAGL0E04510g	CAGL0A02299g
CAGL0E05148g	CAGL0A02299g
CAGL0E05346g	CAGL0A02299g
CAGL0E06072g	CAGL0A02299g
CAGL0F00605g	CAGL0A02299g
CAGL0F04807g	CAGL0A02299g
CAGL0F08085g	CAGL0A02299g
CAGL0G06006g	CAGL0A02299g
CAGL0H03795g	CAGL0A02299g
CAGL0H04851g	CAGL0A02299g
CAGL0H08541g	CAGL0A02299g
CAGL0H09944g	CAGL0A02299g
CAGL0I00286g	CAGL0A02299g
CAGL0I01100g	CAGL0A02299g
CAGL0I01276g	CAGL0A02299g
CAGL0I04328g	CAGL0A02299g
CAGL0I05874g	CAGL0A02299g
CAGL0J07568g	CAGL0A02299g
CAGL0J07980g	CAGL0A02299g
CAGL0K00110g	CAGL0A02299g
CAGL0K09702g	CAGL0A02299g
CAGL0K11858g	CAGL0A02299g
CAGL0K12254g	CAGL0A02299g
CAGL0L03135g	CAGL0A02299g
CAGL0L10362g	CAGL0A02299g
CAGL0L12562g	CAGL0A02299g
CAGL0M02211g	CAGL0A02299g
CAGL0M05511g	CAGL0A02299g
CAGL0A03905g	CAGL0A02816g
CAGL0A04499g	CAGL0A02816g
CAGL0B03421g	CAGL0A02816g
CAGL0C03850g	CAGL0A02816g
CAGL0E03025g	CAGL0A02816g
CAGL0E05588g	CAGL0A02816g
CAGL0E06138g	CAGL0A02816g
CAGL0F01265g	CAGL0A02816g
CAGL0F01463g	CAGL0A02816g
CAGL0F03553g	CAGL0A02816g
CAGL0F05687g	CAGL0A02816g
CAGL0G02255g	CAGL0A02816g
CAGL0G04499g	CAGL0A02816g
CAGL0G06468g	CAGL0A02816g
CAGL0I02508g	CAGL0A02816g
CAGL0I05060g	CAGL0A02816g
CAGL0I05390g	CAGL0A02816g
CAGL0I07491g	CAGL0A02816g
CAGL0J02112g	CAGL0A02816g
CAGL0J03916g	CAGL0A02816g
CAGL0J09262g	CAGL0A02816g
CAGL0K09372g	CAGL0A02816g
CAGL0K10824g	CAGL0A02816g
CAGL0L00803g	CAGL0A02816g
CAGL0L01177g	CAGL0A02816g
CAGL0L01771g	CAGL0A02816g
CAGL0L03696g	CAGL0A02816g
CAGL0L05742g	CAGL0A02816g
CAGL0L10780g	CAGL0A02816g
CAGL0M01562g	CAGL0A02816g
CAGL0M03377g	CAGL0A02816g
CAGL0M06963g	CAGL0A02816g
CAGL0M08602g	CAGL0A02816g
CAGL0B03421g	CAGL0A03102g
CAGL0C02365g	CAGL0A03102g
CAGL0C04587g	CAGL0A03102g
CAGL0D00264g	CAGL0A03102g
CAGL0D00704g	CAGL0A03102g
CAGL0D01474g	CAGL0A03102g
CAGL0E00803g	CAGL0A03102g
CAGL0E05588g	CAGL0A03102g
CAGL0E06380g	CAGL0A03102g
CAGL0F01463g	CAGL0A03102g
CAGL0F01485g	CAGL0A03102g
CAGL0F02101g	CAGL0A03102g
CAGL0F04719g	CAGL0A03102g
CAGL0F05687g	CAGL0A03102g
CAGL0G05962g	CAGL0A03102g
CAGL0H00682g	CAGL0A03102g
CAGL0H02387g	CAGL0A03102g
CAGL0H02893g	CAGL0A03102g
CAGL0H05445g	CAGL0A03102g
CAGL0I00550g	CAGL0A03102g
CAGL0I02024g	CAGL0A03102g
CAGL0I05060g	CAGL0A03102g
CAGL0I05390g	CAGL0A03102g
CAGL0I09086g	CAGL0A03102g
CAGL0J09262g	CAGL0A03102g
CAGL0J09812g	CAGL0A03102g
CAGL0K03421g	CAGL0A03102g
CAGL0K05247g	CAGL0A03102g
CAGL0K07480g	CAGL0A03102g
CAGL0K10736g	CAGL0A03102g
CAGL0K10824g	CAGL0A03102g
CAGL0L00803g	CAGL0A03102g
CAGL0L00957g	CAGL0A03102g
CAGL0L04598g	CAGL0A03102g
CAGL0L05742g	CAGL0A03102g
CAGL0L07480g	CAGL0A03102g
CAGL0L08426g	CAGL0A03102g
CAGL0L10582g	CAGL0A03102g
CAGL0M02915g	CAGL0A03102g
CAGL0M03377g	CAGL0A03102g
CAGL0M04675g	CAGL0A03102g
CAGL0M05511g	CAGL0A03102g
CAGL0M05951g	CAGL0A03102g
CAGL0M08184g	CAGL0A03102g
CAGL0M09229g	CAGL0A03102g
CAGL0B02794g	CAGL0A03366g
CAGL0E00737g	CAGL0A03366g
CAGL0F06501g	CAGL0A03366g
CAGL0F08019g	CAGL0A03366g
CAGL0F08195g	CAGL0A03366g
CAGL0G05764g	CAGL0A03366g
CAGL0G09691g	CAGL0A03366g
CAGL0H04191g	CAGL0A03366g
CAGL0H07887g	CAGL0A03366g
CAGL0H08063g	CAGL0A03366g
CAGL0H08624g	CAGL0A03366g
CAGL0I01980g	CAGL0A03366g
CAGL0I04444g	CAGL0A03366g
CAGL0I06182g	CAGL0A03366g
CAGL0I10010g	CAGL0A03366g
CAGL0J01045g	CAGL0A03366g
CAGL0J09328g	CAGL0A03366g
CAGL0J10846g	CAGL0A03366g
CAGL0K04499g	CAGL0A03366g
CAGL0K04719g	CAGL0A03366g
CAGL0K05247g	CAGL0A03366g
CAGL0K10340g	CAGL0A03366g
CAGL0L03377g	CAGL0A03366g
CAGL0L05786g	CAGL0A03366g
CAGL0M02167g	CAGL0A03366g
CAGL0M09020g	CAGL0A03366g
CAGL0M09229g	CAGL0A03366g
CAGL0M12947g	CAGL0A03366g
CAGL0M13717g	CAGL0A03366g
CAGL0A04829g	CAGL0A03476g
CAGL0B00814g	CAGL0A03476g
CAGL0B00946g	CAGL0A03476g
CAGL0B01727g	CAGL0A03476g
CAGL0C02233g	CAGL0A03476g
CAGL0C02365g	CAGL0A03476g
CAGL0C02739g	CAGL0A03476g
CAGL0C03113g	CAGL0A03476g
CAGL0C03850g	CAGL0A03476g
CAGL0C04191g	CAGL0A03476g
CAGL0D00704g	CAGL0A03476g
CAGL0D00770g	CAGL0A03476g
CAGL0D01298g	CAGL0A03476g
CAGL0D01474g	CAGL0A03476g
CAGL0D04686g	CAGL0A03476g
CAGL0D06600g	CAGL0A03476g
CAGL0E01243g	CAGL0A03476g
CAGL0E03025g	CAGL0A03476g
CAGL0E04510g	CAGL0A03476g
CAGL0E05148g	CAGL0A03476g
CAGL0E05346g	CAGL0A03476g
CAGL0E06072g	CAGL0A03476g
CAGL0E06380g	CAGL0A03476g
CAGL0F01485g	CAGL0A03476g
CAGL0F02101g	CAGL0A03476g
CAGL0F04807g	CAGL0A03476g
CAGL0F08085g	CAGL0A03476g
CAGL0G01540g	CAGL0A03476g
CAGL0G02255g	CAGL0A03476g
CAGL0G06006g	CAGL0A03476g
CAGL0H00825g	CAGL0A03476g
CAGL0H02893g	CAGL0A03476g
CAGL0H04851g	CAGL0A03476g
CAGL0H05445g	CAGL0A03476g
CAGL0H08541g	CAGL0A03476g
CAGL0H09944g	CAGL0A03476g
CAGL0I00286g	CAGL0A03476g
CAGL0I00550g	CAGL0A03476g
CAGL0I01100g	CAGL0A03476g
CAGL0I02024g	CAGL0A03476g
CAGL0I02508g	CAGL0A03476g
CAGL0I04972g	CAGL0A03476g
CAGL0I05390g	CAGL0A03476g
CAGL0I05874g	CAGL0A03476g
CAGL0I07491g	CAGL0A03476g
CAGL0I09086g	CAGL0A03476g
CAGL0I09504g	CAGL0A03476g
CAGL0J02112g	CAGL0A03476g
CAGL0J02530g	CAGL0A03476g
CAGL0J03212g	CAGL0A03476g
CAGL0J07568g	CAGL0A03476g
CAGL0J07980g	CAGL0A03476g
CAGL0J09262g	CAGL0A03476g
CAGL0J09812g	CAGL0A03476g
CAGL0K04367g	CAGL0A03476g
CAGL0K09702g	CAGL0A03476g
CAGL0K10428g	CAGL0A03476g
CAGL0K10736g	CAGL0A03476g
CAGL0K11858g	CAGL0A03476g
CAGL0K12254g	CAGL0A03476g
CAGL0L00803g	CAGL0A03476g
CAGL0L01177g	CAGL0A03476g
CAGL0L03135g	CAGL0A03476g
CAGL0L05742g	CAGL0A03476g
CAGL0L06578g	CAGL0A03476g
CAGL0L08426g	CAGL0A03476g
CAGL0L09383g	CAGL0A03476g
CAGL0L10362g	CAGL0A03476g
CAGL0L12562g	CAGL0A03476g
CAGL0M01562g	CAGL0A03476g
CAGL0M02211g	CAGL0A03476g
CAGL0M02915g	CAGL0A03476g
CAGL0M05511g	CAGL0A03476g
CAGL0M07403g	CAGL0A03476g
CAGL0M08602g	CAGL0A03476g
CAGL0B01507g	CAGL0A03542g
CAGL0B02585g	CAGL0A03542g
CAGL0B03993g	CAGL0A03542g
CAGL0C01325g	CAGL0A03542g
CAGL0C03443g	CAGL0A03542g
CAGL0C04279g	CAGL0A03542g
CAGL0D00748g	CAGL0A03542g
CAGL0D01958g	CAGL0A03542g
CAGL0D05192g	CAGL0A03542g
CAGL0E01287g	CAGL0A03542g
CAGL0E01771g	CAGL0A03542g
CAGL0F00231g	CAGL0A03542g
CAGL0F03399g	CAGL0A03542g
CAGL0F04565g	CAGL0A03542g
CAGL0F05863g	CAGL0A03542g
CAGL0G03905g	CAGL0A03542g
CAGL0G06402g	CAGL0A03542g
CAGL0G07711g	CAGL0A03542g
CAGL0G10131g	CAGL0A03542g
CAGL0G10153g	CAGL0A03542g
CAGL0H02491g	CAGL0A03542g
CAGL0H03993g	CAGL0A03542g
CAGL0H09064g	CAGL0A03542g
CAGL0H10142g	CAGL0A03542g
CAGL0I00748g	CAGL0A03542g
CAGL0I01298g	CAGL0A03542g
CAGL0I03190g	CAGL0A03542g
CAGL0I06831g	CAGL0A03542g
CAGL0I08987g	CAGL0A03542g
CAGL0J00429g	CAGL0A03542g
CAGL0J00847g	CAGL0A03542g
CAGL0J03806g	CAGL0A03542g
CAGL0J06380g	CAGL0A03542g
CAGL0J07062g	CAGL0A03542g
CAGL0J09240g	CAGL0A03542g
CAGL0J11682g	CAGL0A03542g
CAGL0K02409g	CAGL0A03542g
CAGL0K02893g	CAGL0A03542g
CAGL0K08184g	CAGL0A03542g
CAGL0L00979g	CAGL0A03542g
CAGL0L01089g	CAGL0A03542g
CAGL0L02079g	CAGL0A03542g
CAGL0L02937g	CAGL0A03542g
CAGL0L04664g	CAGL0A03542g
CAGL0L06160g	CAGL0A03542g
CAGL0L10406g	CAGL0A03542g
CAGL0L10868g	CAGL0A03542g
CAGL0L11000g	CAGL0A03542g
CAGL0M04873g	CAGL0A03542g
CAGL0M05995g	CAGL0A03542g
CAGL0M06457g	CAGL0A03542g
CAGL0M07271g	CAGL0A03542g
CAGL0H06787g	CAGL0A03740g
CAGL0B03421g	CAGL0A03905g
CAGL0C03333g	CAGL0A03905g
CAGL0E06116g	CAGL0A03905g
CAGL0F00187g	CAGL0A03905g
CAGL0H02959g	CAGL0A03905g
CAGL0H03487g	CAGL0A03905g
CAGL0I02508g	CAGL0A03905g
CAGL0I07491g	CAGL0A03905g
CAGL0J03916g	CAGL0A03905g
CAGL0L01771g	CAGL0A03905g
CAGL0M08602g	CAGL0A03905g
CAGL0B00286g	CAGL0A04015g
CAGL0B00594g	CAGL0A04015g
CAGL0B00792g	CAGL0A04015g
CAGL0B01122g	CAGL0A04015g
CAGL0B01507g	CAGL0A04015g
CAGL0B01881g	CAGL0A04015g
